sample,sex,sow,dg,group,group.order,lt,date,time,testday,context,cort_ngml,plate.name
9,f,6235,DG-5,W,2,63,18. Feb 21,10:44,Reunion,Reunion,7.477,Petra.Cort.01.06.21
9,f,6310,DG-4,W,1,28,12. Nov 20,08:52,Weaning,Weaning,16.154,Petra_Cort_16.04.21
9,f,6310,DG-4,W,1,35,19. Nov 20,08:36,Play,Play,11.485,Petra_Cort_15.04.21
9,f,6310,DG-4,W,2,61,15-Dec-20,08:55,Baseline3,Baseline,7.685,Petra Cort 31.05.21
9,f,6310,DG-4,W,2,61,15-Dec-20,09:25,Separation,Separation,7.675,Petra Cort 31.05.21
9,f,6310,DG-4,W,2,61,15-Dec-20,09:47,Reunion,Reunion,7.447,Petra Cort 31.05.21
9,f,6310,DG-4,W,2,47,1-Dec-20,10:45,Baseline2,Baseline,2.727,Petra Cort 21.06.21
9,f,6310,DG-4,W,1,48,2-Dec-20,08:20,Baseline2,Baseline,7.227,Petra Cort 21.06.21
9,f,6310,DG-4,W,1,49,3-Dec-20,08:10,Baseline2,Baseline,5.115,Petra Cort 21.06.21
9,f,6310,DG-4,W,1,50,4-Dec-20,08:15,Baseline2,Baseline,4.472,Petra Cort 21.06.21
9,f,6369,DG-3,F,1,60,02. Nov 20,08:32,Baseline3,Baseline,7.295,Petra Cort 11.05.21
9,f,6369,DG-3,F,1,60,02. Nov 20,08:57,Separation,Separation,28.707,Petra Cort 11.05.21
9,f,6369,DG-3,F,1,60,02. Nov 20,09:20,Reunion,Reunion,9.912,Petra Cort 11.05.21
9,f,6369,DG-3,F,1,46,19-Oct-20,08:47,Baseline2,Baseline,3.44,Petra Cort 11.06.21
9,f,6369,DG-3,F,2,28,1-Oct-20,09:08,Weaning,Weaning,8.518,Petra_Cort_12.04.21
9,f,6369,DG-3,F,2,35,8-Oct-20,09:55,Play,Play,4.364,Petra_Cort_12.04.21
9,f,6369,DG-3,F,2,36,9-Oct-20,09:54,Baseline1,Baseline,5.551,Petra_Cort_12.04.21
9,f,6407,DG-5,F,2,28,14. Jan 21,09:17,Weaning,Weaning,15.693,Petra_Cort_16.04.21
9,f,6407,DG-5,F,2,35,21. Jan 21,09:43,Play,Play,8.857,Petra_Cort_28.04.21
9,f,6407,DG-5,F,2,36,22. Jan 21,09:39,Baseline1,Baseline,12.899,Petra_Cort_16.04.21
9,f,6407,DG-5,F,1,47,02. Feb 21,08:40,Baseline2,Baseline,4.394,Petra Cort 21.06.21
9,f,6407,DG-5,F,1,48,03. Feb 21,08:35,Baseline2,Baseline,3.056,Petra Cort 21.06.21
9,f,6407,DG-5,F,2,49,04. Feb 21,10:25,Baseline2,Baseline,5.252,Petra Cort 21.06.21
9,f,6407,DG-5,F,2,63,18. Feb 21,09:11,Baseline3,Baseline,5.595,Petra.Cort.01.06.21
9,f,6407,DG-5,F,2,63,18. Feb 21,09:39,Separation,Separation,9.754,Petra.Cort.01.06.21
9,f,6407,DG-5,F,2,63,18. Feb 21,09:59,Reunion,Reunion,7.958,Petra.Cort.01.06.21
10,f,6073,DG-3,W,1,63,05. Nov 20,08:25,Baseline3,Baseline,6.912,Petra Cort 14.05.21
10,f,6073,DG-3,W,1,63,05. Nov 20,08:50,Separation,Separation,8.822,Petra Cort 14.05.21
10,f,6073,DG-3,W,1,63,05. Nov 20,09:12,Reunion,Reunion,6.603,Petra Cort 14.05.21
10,f,6073,DG-3,W,1,28,1-Oct-20,08:49,Weaning,Weaning,13.286,Petra_Cort_12.04.21
10,f,6073,DG-3,W,1,49,22-Oct-20,08:25,Baseline2,Baseline,5.538,Petra Cort 15.06.21
10,f,6188,DG-4,F,2,28,12. Nov 20,09:23,Weaning,Weaning,10.81,Petra_Cort_15.04.21
10,f,6188,DG-4,F,2,35,19. Nov 20,09:48,Play,Play,5.617,Petra_Cort_15.04.21
10,f,6188,DG-4,F,2,36,20. Nov 20,09:45,Baseline1,Baseline,12.439,Petra_Cort_15.04.21
10,f,6188,DG-4,F,2,64,18-Dec-20,09:36,Baseline3,Baseline,5.562,Petra Cort 27.05.21
10,f,6188,DG-4,F,2,64,18-Dec-20,10:00,Separation,Separation,17.505,Petra Cort 27.05.21
10,f,6188,DG-4,F,2,64,18-Dec-20,10:19,Reunion,Reunion,10.365,Petra Cort 27.05.21
10,f,6188,DG-4,F,2,50,4-Dec-20,11:35,Baseline2,Baseline,6.598,Petra Cort 16.06.21
10,f,6235,DG-5,W,1,35,21. Jan 21,08:46,Play,Play,14.018,Petra_Cort_28.04.21
10,f,6235,DG-5,W,1,36,22. Jan 21,08:46,Baseline1,Baseline,25.325,Petra_Cort_28.04.21
10,f,6235,DG-5,W,1,47,02. Feb 21,08:30,Baseline2,Baseline,2.899,Petra Cort 12.07.21
10,f,6235,DG-5,W,1,49,04. Feb 21,08:32,Baseline2,Baseline,5.828,Petra Cort 22.06.21
10,f,6235,DG-5,W,1,63,18. Feb 21,08:27,Baseline3,Baseline,4.764,Petra.Cort.01.06.21
10,f,6235,DG-5,W,1,63,18. Feb 21,08:52,Separation,Separation,7.218,Petra.Cort.01.06.21
10,f,6235,DG-5,W,1,63,18. Feb 21,09:11,Reunion,Reunion,7.147,Petra.Cort.01.06.21
10,f,6310,DG-4,W,1,28,12. Nov 20,08:43,Weaning,Weaning,9.069,Petra_Cort_16.04.21
10,f,6310,DG-4,W,1,35,19. Nov 20,09:00,Play,Play,10.484,Petra_Cort_15.04.21
10,f,6310,DG-4,W,1,46,30. Nov 20,08:35,Baseline2,Baseline,7.869,Petra Cort 21.06.21
10,f,6310,DG-4,W,1,60,14-Dec-20,08:48,Baseline3,Baseline,8.125,Petra Cort 31.05.21
10,f,6310,DG-4,W,1,60,14-Dec-20,09:16,Separation,Separation,11.909,Petra Cort 31.05.21
10,f,6310,DG-4,W,1,60,14-Dec-20,09:38,Reunion,Reunion,10.247,Petra Cort 31.05.21
10,f,6369,DG-3,F,2,60,02. Nov 20,10:03,Baseline3,Baseline,8.28,Petra Cort 11.05.21
10,f,6369,DG-3,F,2,60,02. Nov 20,10:28,Separation,Separation,11.898,Petra Cort 11.05.21
10,f,6369,DG-3,F,2,60,02. Nov 20,10:48,Reunion,Reunion,9.928,Petra Cort 11.05.21
10,f,6369,DG-3,F,1,46,19-Oct-20,08:47,Baseline2,Baseline,6.158,Petra Cort 11.06.21
10,f,6369,DG-3,F,2,28,1-Oct-20,09:10,Weaning,Weaning,16.353,Petra_Cort_07.04.21
10,f,6369,DG-3,F,2,35,8-Oct-20,09:47,Play,Play,5.394,Petra_Cort_07.04.21
10,f,6407,DG-5,F,2,28,14. Jan 21,09:13,Weaning,Weaning,10.252,Petra_Cort_16.04.21
10,f,6407,DG-5,F,2,35,21. Jan 21,09:37,Play,Play,7.383,Petra_Cort_16.04.21
10,f,6407,DG-5,F,2,36,22. Jan 21,09:42,Baseline1,Baseline,6.685,Petra_Cort_16.04.21
10,f,6407,DG-5,F,1,46,01. Feb 21,08:38,Baseline2,Baseline,4.572,Petra Cort 22.06.21
10,f,6407,DG-5,F,1,49,04. Feb 21,08:28,Baseline2,Baseline,1.94,Petra Cort 12.07.21
10,f,6407,DG-5,F,2,60,15. Feb 21,10:03,Baseline3,Baseline,5.115,Petra Cort 31.05.21
10,f,6407,DG-5,F,2,60,15. Feb 21,10:27,Separation,Separation,7.236,Petra Cort 31.05.21
10,f,6407,DG-5,F,2,60,15. Feb 21,10:50,Reunion,Reunion,8.205,Petra Cort 31.05.21
