sample,sex,sow,dg,group,group.order,lt,date,time,testday,context,oxt_pgml,plate.name
4,m,6235,DG-2,F,2,35,27. Aug 20,09:31,Play,Play,420.11,BS_OXT_15.12.20
8,m,5952,DG-2,F,2,35,27. Aug 20,09:41,Play,Play,434.251,BS_OXT_15.12.20
9,f,5952,DG-2,F,2,36,28. Aug 20,09:06,Baseline1,Baseline,438.658,BS_OXT_15.12.20
10,f,6369,DG-3,F,2,60,02. Nov 20,10:03,Baseline3,Baseline,440.264,BS_OXT_06.05.21
10,f,6369,DG-3,F,2,28,1-Oct-20,09:10,Absetzen,Weaning,466.475,BS_OXT_16.12.20
5,m,5931,DG-2,W,1,35,27. Aug 20,08:50,Play,Play,477.86,BS_OXT_15.12.20
8,m,5952,DG-2,F,2,36,28. Aug 20,09:17,Baseline1,Baseline,483.272,BS_OXT_15.12.20
8,m,5952,DG-2,F,2,28,20. Aug 20,09:18,Absetzen,Weaning,484.201,BS_OXT_15.12.20
2,f,6232,DG-2,F,2,36,28. Aug 20,09:02,Baseline1,Baseline,500.068,BS_OXT_15.12.20
3,f,6232,DG-2,F,2,28,20. Aug 20,09:09,Absetzen,Weaning,532.543,BS_OXT_08.12.20
7,m,6073,DG-3,W,2,60,02. Nov 20,11:31,Reunion,Reunion,543.546,BS_OXT_06.05.21
7,m,5764,DG-2,W,1,35,27. Aug 20,08:46,Play,Play,547.247,BS_OXT_15.12.20
8,m,6369,DG-3,F,2,35,8-Oct-20,09:40,Play,Play,555.163,BS_OXT_16.12.20
8,m,6369,DG-3,F,2,63,05. Nov 20,09:58,Reunion,Reunion,569.244,BS_OXT_06.05.21
3,f,6142,DG-2,W,1,49,10. Sep 20,08:27,Baseline2,Baseline,574.629,BS_OXT_21.04.21
10,f,6073,DG-3,W,1,63,05. Nov 20,08:50,Separation,Separation,618.309,BS_OXT_10.05.21
6,m,6369,DG-3,F,2,28,1-Oct-20,09:07,Absetzen,Weaning,650.04,BS_OXT_16.12.20
9,f,5952,DG-2,F,2,35,27. Aug 20,09:53,Play,Play,707.818,BS_OXT_15.12.20
