"sex","sow","group.order","age","date","time","testday","context","cort_ngml","plate.name.cort","uniq.group","uniq.id","oxyt_pgml","plate.name.oxyt","time.n","time.n.z","age.z"
"m",2,1,28,2020-08-20,08:46:00,"Weaning","Weaning",9.234,"PM_Cort_19.02.21","DG-2_W","DG-2_W_4",90.232,"BS_OXT_08.12.20",8.76666666666667,-0.810081052906619,-1.51721113840229
"m",2,1,35,2020-08-27,08:37:00,"Play","Play",5.586,"PM_Cort_19.02.21","DG-2_W","DG-2_W_4",117.135,"BS_OXT_15.12.20",8.61666666666667,-0.954996169293615,-0.977391909420317
"m",2,1,36,2020-08-28,08:40:00,"Baseline1","Baseline",9.172,"Petra_Cort_07.04.21","DG-2_W","DG-2_W_4",334.626,"BS_OXT_15.12.20",8.66666666666667,-0.906691130497951,-0.900274876708607
"m",2,2,60,2020-09-21,11:21:00,"Baseline3","Baseline",4.149,"Petra_Cort_28.04.21","DG-2_W","DG-2_W_4",130.322,"BS_OXT_21.04.21",11.35,1.68567928486943,0.950533908372446
"m",2,2,60,2020-09-21,11:49:00,"Separation","Separation",29.026,"Petra_Cort_28.04.21","DG-2_W","DG-2_W_4",253.125,"BS_OXT_21.04.21",11.8166666666667,2.13652631362897,0.950533908372446
"m",2,2,60,2020-09-21,12:07:00,"Reunion","Reunion",11.467,"Petra_Cort_28.04.21","DG-2_W","DG-2_W_4",88.246,"BS_OXT_21.04.21",12.1166666666667,2.42635654640296,0.950533908372446
"f",5,1,61,2020-11-03,08:21:00,"Baseline3","Baseline",2.458,"Petra Cort 14.05.21","DG-3_W","DG-3_W_4",102.726,"BS_OXT_22.04.21",8.35,-1.2126230428705,1.02765094108416
"f",5,1,61,2020-11-03,08:48:00,"Separation","Separation",6.604,"Petra Cort 14.05.21","DG-3_W","DG-3_W_4",73.433,"BS_OXT_22.04.21",8.8,-0.777877693709509,1.02765094108416
"f",5,1,61,2020-11-03,09:10:00,"Reunion","Reunion",7.368,"Petra Cort 14.05.21","DG-3_W","DG-3_W_4",157.13,"BS_OXT_22.04.21",9.16666666666667,-0.423640742541297,1.02765094108416
"f",5,1,28,2020-10-01,08:53:00,"Weaning","Weaning",14.172,"Petra_Cort_07.04.21","DG-3_W","DG-3_W_4",NA,NA,8.88333333333333,-0.697369295716734,-1.51721113840229
"f",5,1,47,2020-10-20,08:25:00,"Baseline2","Baseline",4.084,"Petra Cort 14.06.21","DG-3_W","DG-3_W_4",NA,NA,8.41666666666667,-1.14821632447628,-0.0519875168797908
"f",5,1,49,2020-10-22,08:20:00,"Baseline2","Baseline",5.023,"Petra Cort 14.06.21","DG-3_W","DG-3_W_4",NA,NA,8.33333333333333,-1.22872472246905,0.10224654854363
"f",5,1,55,2020-10-28,09:45:00,"Baseline2","Baseline",2.497,"Petra Cort 14.06.21","DG-3_W","DG-3_W_4",46.664,"BS_OXT_13.07.21",9.75,0.139918043408134,0.564948744813893
"f",5,1,35,2020-10-08,08:45:00,"Play","Play",7.287,"Petra_Cort_07.04.21","DG-3_W","DG-3_W_4",200.716,"BS_OXT_16.12.20",8.75,-0.826182732505175,-0.977391909420317
"f",6,2,28,2020-11-12,09:19:00,"Weaning","Weaning",18.629,"Petra_Cort_15.04.21","DG-4_F","DG-4_F_4",128.902,"BS_OXT_29.03.21",9.31666666666667,-0.2787256261543,-1.51721113840229
"f",6,2,35,2020-11-19,09:42:00,"Play","Play",3.967,"Petra_Cort_15.04.21","DG-4_F","DG-4_F_4",110.258,"BS_OXT_29.03.21",9.7,0.0916130046124674,-0.977391909420317
"f",6,2,36,2020-11-20,09:57:00,"Baseline1","Baseline",4.024,"Petra_Cort_15.04.21","DG-4_F","DG-4_F_4",376.257,"BS_OXT_30.03.21",9.95,0.333138198590794,-0.900274876708607
"f",6,1,61,2020-12-15,08:13:00,"Baseline3","Baseline",3.765,"Petra Cort 14.05.21","DG-4_F","DG-4_F_4",50.405,"BS_OXT_10.05.21",8.21666666666667,-1.34143647965894,1.02765094108416
"f",6,1,61,2020-12-15,08:35:00,"Separation","Separation",11.461,"Petra Cort 14.05.21","DG-4_F","DG-4_F_4",47.626,"BS_OXT_10.05.21",8.58333333333333,-0.987199528490726,1.02765094108416
"f",6,1,61,2020-12-15,08:55:00,"Reunion","Reunion",11.737,"Petra Cort 14.05.21","DG-4_F","DG-4_F_4",70,"BS_OXT_10.05.21",8.91666666666667,-0.665165936519624,1.02765094108416
"f",6,1,47,2020-12-01,08:30:00,"Baseline2","Baseline",3.89,"Petra Cort 15.06.21","DG-4_F","DG-4_F_4",208.848,"BS_OXT_12.07.21",8.5,-1.0677079264835,-0.0519875168797908
"f",9,1,28,2020-11-12,08:48:00,"Weaning","Weaning",8.601,"Petra_Cort_12.04.21","DG-4_W","DG-4_W_4",101.136,"BS_OXT_03.03.21",8.8,-0.777877693709509,-1.51721113840229
"f",9,1,35,2020-11-19,08:40:00,"Play","Play",10.236,"Petra_Cort_12.04.21","DG-4_W","DG-4_W_4",109.81,"BS_OXT_29.03.21",8.66666666666667,-0.906691130497951,-0.977391909420317
"f",9,1,36,2020-11-20,08:36:00,"Baseline1","Baseline",4.979,"Petra_Cort_12.04.21","DG-4_W","DG-4_W_4",123.052,"BS_OXT_29.03.21",8.6,-0.971097848892171,-0.900274876708607
"f",9,2,61,2020-12-15,10:38:00,"Baseline3","Baseline",3.426,"Petra Cort 27.05.21","DG-4_W","DG-4_W_4",74.4,"BS_OXT_18.05.21",10.6333333333333,0.993307062131555,1.02765094108416
"f",9,2,61,2020-12-15,11:05:00,"Separation","Separation",16.296,"Petra Cort 27.05.21","DG-4_W","DG-4_W_4",121.729,"BS_OXT_18.05.21",11.0833333333333,1.42805241129255,1.02765094108416
"f",9,2,61,2020-12-15,11:26:00,"Reunion","Reunion",5.419,"Petra Cort 27.05.21","DG-4_W","DG-4_W_4",72.21,"BS_OXT_18.05.21",11.4333333333333,1.7661876828622,1.02765094108416
"f",9,1,48,2020-12-02,08:20:00,"Baseline2","Baseline",3.383,"Petra Cort 12.07.21","DG-4_W","DG-4_W_4",193.274,"BS_OXT_12.07.21",8.33333333333333,-1.22872472246905,0.0251295158319197
"m",11,2,35,2020-08-27,09:31:00,"Play","Play",13.426,"PM_Cort_19.02.21","DG-2_F","DG-2_F_4",420.11,"BS_OXT_15.12.20",9.51666666666667,-0.0855054709716376,-0.977391909420317
"m",11,2,36,2020-08-28,09:07:00,"Baseline1","Baseline",5.088,"Petra_Cort_07.04.21","DG-2_F","DG-2_F_4",271.547,"BS_OXT_15.12.20",9.11666666666667,-0.471945781336961,-0.900274876708607
"m",11,2,47,2020-09-08,11:04:00,"Baseline2","Baseline",4.749,"Petra Cort 09.06.21","DG-2_F","DG-2_F_4",NA,NA,11.0666666666667,1.41195073169399,-0.0519875168797908
"m",11,1,48,2020-09-09,08:28:00,"Baseline2","Baseline",3.831,"Petra Cort 09.06.21","DG-2_F","DG-2_F_4",NA,NA,8.46666666666667,-1.09991128568061,0.0251295158319197
"m",11,2,63,2020-09-24,10:10:00,"Baseline3","Baseline",6.442,"Petra_Cort_29.04.21","DG-2_F","DG-2_F_4",204.616,"BS_OXT_22.04.21",10.1666666666667,0.542460033372011,1.18188500650758
"m",11,2,63,2020-09-24,10:35:00,"Separation","Separation",12.237,"Petra_Cort_29.04.21","DG-2_F","DG-2_F_4",271.791,"BS_OXT_22.04.21",10.5833333333333,0.945002023335891,1.18188500650758
"m",11,2,63,2020-09-24,10:55:00,"Reunion","Reunion",8.515,"Petra_Cort_29.04.21","DG-2_F","DG-2_F_4",169.138,"BS_OXT_22.04.21",10.9166666666667,1.26703561530699,1.18188500650758
"m",11,2,49,2020-10-09,10:25:00,"Baseline2","Baseline",2.371,"Petra Cort 09.06.21","DG-2_F","DG-2_F_4",NA,NA,10.4166666666667,0.783985227350338,0.10224654854363
"f",12,2,63,2020-11-05,10:44:00,"Baseline3","Baseline",1.815,"Petra Cort 11.05.21","DG-3_F","DG-3_F_4",54.428,"BS_OXT_06.05.21",10.7333333333333,1.08991713972289,1.18188500650758
"f",12,2,63,2020-11-05,11:18:00,"Separation","Separation",5.524,"Petra Cort 11.05.21","DG-3_F","DG-3_F_4",70.71,"BS_OXT_06.05.21",11.3,1.63737424607376,1.18188500650758
"f",12,2,63,2020-11-05,11:37:00,"Reunion","Reunion",4.491,"Petra Cort 11.05.21","DG-3_F","DG-3_F_4",150.405,"BS_OXT_06.05.21",11.6166666666667,1.94330615844631,1.18188500650758
"f",12,2,28,2020-10-01,09:03:00,"Weaning","Weaning",5.257,"Petra_Cort_12.04.21","DG-3_F","DG-3_F_4",279.449,"BS_OXT_16.12.20",9.05,-0.536352499731182,-1.51721113840229
"f",12,2,49,2020-10-22,10:58:00,"Baseline2","Baseline",2.978,"Petra Cort 14.06.21","DG-3_F","DG-3_F_4",NA,NA,10.9666666666667,1.31534065410266,0.10224654854363
"f",12,2,35,2020-10-08,09:41:00,"Play","Play",3.167,"Petra_Cort_12.04.21","DG-3_F","DG-3_F_4",211.257,"BS_OXT_16.12.20",9.68333333333333,0.0755113250139132,-0.977391909420317
"f",12,2,36,2020-10-09,09:43:00,"Baseline1","Baseline",3.546,"Petra_Cort_12.04.21","DG-3_F","DG-3_F_4",105.554,"BS_OXT_03.03.21",9.71666666666667,0.107714684211023,-0.900274876708607
"f",16,1,28,2021-01-14,08:51:00,"Weaning","Weaning",15.873,"Petra_Cort_16.04.21","DG-5_W","DG-5_W_4",NA,NA,8.85,-0.729572654913844,-1.51721113840229
"f",16,1,35,2021-01-21,08:41:00,"Play","Play",5.653,"Petra_Cort_16.04.21","DG-5_W","DG-5_W_4",173.454,"BS_OXT_30.03.21",8.68333333333333,-0.890589450899395,-0.977391909420317
"f",16,1,36,2021-01-22,08:39:00,"Baseline1","Baseline",7.003,"Petra_Cort_28.04.21","DG-5_W","DG-5_W_4",115.025,"BS_OXT_30.03.21",8.65,-0.922792810096505,-0.900274876708607
"f",16,1,47,2021-02-02,08:30:00,"Baseline2","Baseline",4.609,"Petra Cort 22.06.21","DG-5_W","DG-5_W_4",175.127,"BS_OXT_12.07.21",8.5,-1.0677079264835,-0.0519875168797908
"f",16,2,61,2021-02-16,10:00:00,"Baseline3","Baseline",1.202,"Petra Cort 31.05.21","DG-5_W","DG-5_W_4",110.613,"BS_OXT_19.05.21",10,0.381443237386461,1.02765094108416
"f",16,2,61,2021-02-16,10:25:00,"Separation","Separation",4.358,"Petra Cort 31.05.21","DG-5_W","DG-5_W_4",77.635,"BS_OXT_19.05.21",10.4166666666667,0.783985227350338,1.02765094108416
"f",16,2,61,2021-02-16,10:45:00,"Reunion","Reunion",5.108,"Petra Cort 31.05.21","DG-5_W","DG-5_W_4",90.079,"BS_OXT_19.05.21",10.75,1.10601881932144,1.02765094108416
"f",17,2,28,2021-01-14,09:08:00,"Weaning","Weaning",11.254,"Petra_Cort_16.04.21","DG-5_F","DG-5_F_4",176.012,"BS_OXT_30.03.21",9.13333333333333,-0.455844101738407,-1.51721113840229
"f",17,2,35,2021-01-21,09:36:00,"Play","Play",8.301,"Petra_Cort_28.04.21","DG-5_F","DG-5_F_4",263.587,"BS_OXT_30.03.21",9.6,-0.00499707297886308,-0.977391909420317
"f",17,2,36,2021-01-22,09:45:00,"Baseline1","Baseline",6.758,"Petra_Cort_16.04.21","DG-5_F","DG-5_F_4",115.281,"BS_OXT_13.04.21",9.75,0.139918043408134,-0.900274876708607
"f",17,2,47,2021-02-02,10:36:00,"Baseline2","Baseline",4.31,"Petra Cort 21.06.21","DG-5_F","DG-5_F_4",234.829,"BS_OXT_13.07.21",10.6,0.961103702934445,-0.0519875168797908
